name,id,income_rs_crore,expenditure_rs_crore,net_profit_rs_crore,value_rs_crore
"Kirloskar Ferrous Industries Ltd",3511,"1,106.52","1,003.47",48.33,1106.5200
"IL&FS Financial Services Ltd",24474,"1,104.32",628.62,325.67,1104.3200
"Serum Institute of India Ltd",20841,"1,104.03",584.10,433.77,1104.0300
"Sunbeam Auto Ltd",22220,"1,102.19","1,036.03",29.46,1102.1900
"Pennar Industries Ltd",1119,"1,099.72",958.58,69.46,1099.7200
"Heritage Foods (India) Ltd",4439,"1,097.54","1,053.32",1.12,1097.5400
"Olam Exports (India) Ltd",25175,"1,096.74","1,058.03",12.77,1096.7400
"H & R Johnson (India) Ltd",12968,"1,094.95",990.51,24.34,1094.9500
"Carrier Airconditioning & Refrigeration Ltd",28288,"1,094.67",981.05,67.75,1094.6700
"Gujarat Industries Power Co Ltd",2718,"1,093.48",775.72,162.95,1093.4800
"Subros Ltd",1121,"1,092.32","1,002.25",28.54,1092.3200
"Indian Metals & Ferro Alloys Ltd",5807,"1,089.78",740.17,165.44,1089.7800
"Bannari Amman Sugars Ltd",57,"1,088.40",938.32,53.06,1088.4000
"HSIL Ltd",250,"1,084.25",867.66,87.35,1084.2500
"West Coast Paper Mills Ltd",607,"1,082.03",836.78,90.08,1082.0300
"Indian Iron & Steel Company Ltd",5423,"1,078.86","1,009.28",32.05,1078.8600
"Educomp Solutions Ltd",26839,"1,076.69",543.65,388.87,1076.6900
"Bajaj Holdings & Investment Ltd",50,"1,076.45",7.09,"1,000.09",1076.4500
"L & T-Komatsu Ltd",24345,"1,075.00","1,025.83",18.99,1075.0000
"Ansal Properties & Infrastructure Ltd",2820,"1,074.79",847.97,76.15,1074.7900
"Delhi Assam Roadways Corporation Ltd",24038,"1,074.15","1,037.28",4.69,1074.1500
"Jay Bharat Maruti Ltd",1150,"1,073.45",967.42,38.30,1073.4500
"Bosch Chassis Systems India Ltd",321,"1,073.02","1,000.38",26.92,1073.0200
"E I Dupont India Pvt Ltd",29859,"1,071.70",974.06,45.99,1071.7000
"Chowgule & Company Pvt Ltd",19296,"1,070.30",639.46,292.50,1070.3000
"DCW Ltd",141,"1,069.90",954.57,28.91,1069.9000
"Emaar MGF Land Ltd",28018,"1,069.29",775.44,73.81,1069.2900
"Siyaram Silk Mills Ltd",516,"1,069.27",950.76,57.53,1069.2700
"Gujarat State Petronet Ltd",24065,"1,068.47",76.28,506.38,1068.4700
"Hindustan Shipyard Ltd",12133,"1,066.05",878.83,55.00,1066.0500
"Amira Foods India Ltd",29547,"1,065.00",974.35,17.53,1065.0000
"Jindal Drilling & Industries Ltd",1291,"1,063.53",901.31,100.84,1063.5300
"Aristo Pharmaceuticals Ltd",24288,"1,062.98",675.70,258.26,1062.9800
"Subhiksha Trading Services Ltd",29086,"1,061.59","1,016.10",11.60,1061.5900
"HBL Power Systems Ltd",2401,"1,060.72",975.97,16.45,1060.7200
"Suashish Diamonds Ltd",4559,"1,058.83",972.18,62.05,1058.8300
"EMCO Ltd",2141,"1,055.43","1,043.61",-44.23,1055.4300
"Sterling & Wilsons Ltd",29585,"1,054.55",990.61,27.28,1054.5500
"Hindustan Steel Works Construction Ltd",5482,"1,054.50",939.77,-38.09,1054.5000
"Bharat Dynamics Ltd",17540,"1,052.55",947.17,51.71,1052.5500
"Sona Koyo Steering Systems Ltd",1054,"1,045.58",932.89,37.41,1045.5800
"Jagatjit Industries Ltd",307,"1,043.17",957.65,25.26,1043.1700
"Ausom Enterprise Ltd",2386,"1,042.01","1,034.48",7.53,1042.0100
"Procter & Gamble Hygiene and Health Care Ltd",480,"1,038.95",840.01,150.88,1038.9500
"Central Warehousing Corporation",12037,"1,037.45",806.06,136.17,1037.4500
"Century Plyboards (India) Ltd",15783,"1,036.57",923.83,74.51,1036.5700
"Hind Lever Chemicals Ltd - (Merged)",1879,"1,034.23",973.18,30.03,1034.2300
"Walchandnagar Industries Ltd",602,"1,032.62",978.88,12.80,1032.6200
"Rico Auto Industries Ltd",702,"1,032.07",897.30,26.51,1032.0700
"Icomm Tele Ltd",25048,"1,031.85",868.68,43.93,1031.8500
"Deccan Chronicle Holdings Ltd",24194,"1,030.91",683.45,162.58,1030.9100
"Akshata Mercantile Pvt Ltd",27252,"1,030.77",999.16,5.13,1030.7700
"Kohinoor Foods Ltd",3537,"1,030.04",974.42,-23.48,1030.0400
"Loyal Textile Mills Ltd",997,"1,029.56",901.75,31.37,1029.5600
"Polyplex Corporation Ltd",1056,"1,029.38",709.79,176.53,1029.3800
"Cethar Vessels Ltd",12421,"1,028.67",874.34,16.13,1028.6700
"Vuppalamritha Magnetic Components Ltd",28565,"1,028.11",858.06,84.46,1028.1100
"Goa Shipyard Ltd",12874,"1,027.39",748.78,176.13,1027.3900
"Lloyds Metals & Energy Ltd",2629,"1,027.04",982.35,3.73,1027.0400
"AIA Engineering Ltd",22825,"1,021.56",809.69,129.75,1021.5600
"Cargill Global Trading India Pvt Ltd",29554,"1,021.32","1,061.80",-29.93,1021.3200
"Gharda Chemicals Ltd",20051,"1,021.18",874.07,88.08,1021.1800
"Radico Khaitan Ltd",2153,"1,019.84",857.32,72.80,1019.8400
"Siemens Information Systems Ltd",14415,"1,018.26",912.81,33.67,1018.2600
"Automotive Axles Ltd",622,"1,018.06",900.76,57.56,1018.0600
"Amrit Banaspati Company Ltd",14556,"1,016.56",975.72,22.06,1016.5600
"Triveni Engineering & Industries Ltd (Merged)",2275,"1,015.92",887.76,19.61,1015.9200
"Kalyani Carpenter Special Steels Ltd",20350,"1,013.11",927.89,36.09,1013.1100
"Ind-Swift Ltd",4123,"1,009.72",877.77,43.45,1009.7200
"Neoteric Infomatique Ltd",29936,"1,006.66",988.76,2.74,1006.6600
"National Projects Construction Corporation Ltd",17560,"1,005.62",970.24,31.29,1005.6200
"Riddhi Siddhi Gluco Biols Ltd",3707,"1,003.51",744.45,164.49,1003.5100
"Sunstar Overseas Ltd",20153,"1,001.75",926.64,14.08,1001.7500
"Paharpur Cooling Towers Ltd",12045,"1,000.61",762.77,166.10,1000.6100
"CMC Ltd",2296,"1,000.06",789.12,143.33,1000.0600
"Carborundum Universal Ltd",103,999.86,775.19,124.26,999.8600
"J Kumar Infraprojects Ltd",28300,999.78,849.25,73.92,999.7800
"Gujarat Paguthan Energy Corporation Private Ltd",22665,996.90,388.80,295.18,996.9000
"HeidelbergCement India Ltd",396,996.67,919.07,29.17,996.6700
"Aircel Cellular Ltd",12359,995.51,552.88,235.07,995.5100
"Tata B P Solar India Ltd",12330,994.99,931.42,26.39,994.9900
"MBL Infrastructures Ltd",27558,992.06,863.98,60.33,992.0600
"National Small Industries Corporation Ltd",12041,991.85,910.19,29.78,991.8500
"Kuehne + Nagel Pvt Ltd",17130,991.75,938.19,36.51,991.7500
"Punjab Tractors Ltd(merged)",459,991.25,875.81,65.17,991.2500
"Tata AutoComp Systems Ltd",12999,990.37,867.77,41.78,990.3700
"Manaksia Ltd",13819,990.20,904.41,29.26,990.2000
"Karp Impex Ltd",23706,989.52,926.95,18.60,989.5200
"Penna Cement Indutries Ltd",25179,989.45,733.60,144.92,989.4500
"Glodyne Technoserve Ltd",26453,988.81,744.54,144.16,988.8100
"Varun Beverages Ltd",24608,988.03,853.87,24.81,988.0300
"National Dairy Development Board",13151,986.39,815.60,136.67,986.3900
"Gabriel India Ltd",184,985.58,889.20,45.34,985.5800
"Ramsarup Industries Ltd",22868,985.42,"1,095.65",-272.24,985.4200
"Gulf Oil Corporation Ltd",265,982.62,877.63,54.19,982.6200
"Hindustan Dorr-Oliver Ltd",246,982.33,875.38,53.75,982.3300
"Texmaco Rail & Engineering Ltd",27419,981.77,792.51,121.48,981.7700
"Ruchi Strips & Alloys Ltd",1850,981.41,938.10,12.59,981.4100
"Godawari Power & Ispat Ltd",26838,978.49,782.13,71.27,978.4900
"Emerson Network Power India Pvt Ltd",29873,976.93,776.34,131.27,976.9300
"Sarda Energy & Minerals Ltd",1140,972.41,812.24,49.67,972.4100
"Cosmo Films Ltd",124,968.69,853.22,51.52,968.6900
"Kasturi & Sons Ltd",13858,967.54,782.86,40.21,967.5400
"Reliance Industrial Investments & Holdings Ltd",16297,967.45,966.00,1.20,967.4500
"Amalgamated Bean Coffee Trading Company Ltd",15618,964.74,810.53,16.11,964.7400
"Torrent Power SEC Ltd(merged)",1341,963.64,848.99,39.96,963.6400
"Simpson & Company Ltd",23884,958.90,792.83,121.32,958.9000
"Rajasthan State Mines & Minerals Ltd",18363,956.04,752.57,111.53,956.0400
"Frigorifco Allana Ltd",23590,954.65,869.86,35.20,954.6500
"Supreme Infrastructure India Ltd",27272,952.79,791.32,75.95,952.7900
"Kemrock Industries & Exports Ltd",3010,951.83,699.21,75.46,951.8300
"OTIS Elevator Company (India) Ltd",426,950.21,778.35,107.90,950.2100
"Emcure Pharmaceuticals Ltd",16966,946.37,634.88,172.40,946.3700
"Orient Craft Ltd",23427,946.31,844.91,18.96,946.3100
"Ahmednagar Forgings Ltd",2356,943.35,694.68,108.16,943.3500
"Eveready Industries India Ltd",578,943.33,839.46,39.37,943.3300
"Andhra Valley Power Supply Company Ltd (Merged)",21,942.30,616.98,143.88,942.3000
"Viraj Alloys Ltd",3627,941.44,893.06,26.94,941.4400
"Minda Industries Ltd",12295,936.53,839.07,34.84,936.5300
"Schreiber Dynamix Dairies Ltd",16355,936.27,891.92,13.06,936.2700
"Borosil Glass Works Ltd",92,935.70,133.66,647.80,935.7000
"Denso India Ltd",856,935.52,905.62,2.04,935.5200
"Falcon Tyres Ltd",1279,934.86,857.36,28.98,934.8600
"Weizmann Forex Ltd(merged)",29349,933.98,931.12,0.64,933.9800
"Garware Polyester Ltd",189,933.92,658.65,188.45,933.9200
"Eskay KnIT (India) Ltd",1247,932.97,814.67,6.45,932.9700
"Mandhana Industries Ltd",28574,928.56,774.64,66.75,928.5600
"Sanghi Industries Ltd",3924,928.50,770.49,-29.55,928.5000
"Worlds Window Impex India Pvt Ltd",29593,928.12,910.62,10.97,928.1200
"Thirumalai Chemicals Ltd",563,926.94,854.96,4.78,926.9400
"Parekh Aluminex Ltd",7902,924.80,763.10,67.25,924.8000
"Konkan Railway Corporation Ltd",12418,924.43,697.06,2.81,924.4300
"Rites Ltd",24268,920.84,544.09,243.92,920.8400
"Zylog Systems Ltd",24936,918.24,691.59,121.12,918.2400
"DCM Shriram Industries Ltd",2336,918.08,876.73,-5.50,918.0800
"Beetel Teletech Ltd",13675,917.62,916.26,-7.49,917.6200
"CavinKare Pvt Ltd",20711,916.80,935.20,-18.56,916.8000
"SI Group - India Ltd",236,915.21,747.09,100.35,915.2100
"EMC Ltd",12196,913.88,824.07,37.18,913.8800
"WABCO India Ltd",28069,912.44,706.48,127.43,912.4400
"3i Infotech Ltd",20650,911.78,618.50,119.39,911.7800
"SML ISUZU Ltd",544,910.12,839.44,36.56,910.1200
"Gati Ltd",14222,908.10,812.76,14.30,908.1000
"NIIT Ltd",2771,906.20,700.12,96.25,906.2000
"Sesa Resources Ltd",23961,903.89,678.71,123.34,903.8900
"Krishna Maruti Ltd",15449,903.82,822.70,15.48,903.8200
"Tata International Ltd",12734,903.53,938.80,-70.26,903.5300
"Pipavav Defence & Offshore Engineering Company Ltd",23050,900.94,685.04,39.77,900.9400
"Samtel Color Ltd",1083,900.80,887.61,-83.93,900.8000
"S Mobility Ltd",1520,899.76,803.32,78.13,899.7600
"USV Ltd",17405,896.14,667.65,172.62,896.1400
"Indofil Industries Ltd",12360,896.10,802.44,40.57,896.1000
"Precision Wires India Ltd",2400,893.98,829.95,31.00,893.9800
"VRL Logistics Ltd",29776,892.91,722.71,50.98,892.9100
"Videocon Industrial Finance Ltd",19983,891.03,890.73,0.23,891.0300
"Shriram Pistons & Rings Ltd",5498,889.90,696.40,82.69,889.9000
"Jayant Oils & Derivatives Ltd",23686,889.77,823.44,26.67,889.7700
"Galaxy Surfactants Ltd",7167,886.08,767.09,61.52,886.0800
"Khanna Paper Mills Ltd",29761,882.54,795.40,7.20,882.5400
"Fullerton India Credit Company Ltd",27802,880.61,846.95,2.64,880.6100
"TRL Krosaki Refractories Ltd",12178,879.63,779.57,42.69,879.6300
"Elder Pharmaceuticals Ltd",5611,875.22,699.99,70.79,875.2200
"Essar Power Ltd",12394,872.42,533.89,45.29,872.4200
"Mafatlal Industries Ltd",361,872.01,355.28,380.56,872.0100
"Vikash Metal & Power Ltd",26653,870.88,818.88,10.25,870.8800
"Lumax Industries Ltd",782,869.61,812.46,17.98,869.6100
"Venkys (India) Ltd",1250,866.99,745.03,73.03,866.9900
"Oudh Sugar Mills Ltd",694,866.92,787.20,-51.12,866.9200
"Dharampal Satyapal Ltd",25093,866.42,682.62,120.82,866.4200
"Durgapur Projects Ltd",12008,862.86,806.63,-130.48,862.8600
"Fedders Lloyd Corporation Ltd",4019,862.66,766.38,46.51,862.6600
"Sundaram Clayton Ltd",538,862.55,754.16,37.26,862.5500
"Ratnamani Metals & Tubes Ltd",3124,861.23,702.77,83.17,861.2300
"Narmada Hydroelectric Development Corporation Ltd",26626,861.01,105.99,306.16,861.0100
"Meghmani Organics Ltd",22219,860.91,761.09,47.18,860.9100
"JCT Ltd",306,859.14,711.28,56.04,859.1400
"NIIT Technologies Ltd",24978,858.06,666.35,113.13,858.0600
"Styrolution ABS (India) Ltd",866,856.85,763.81,53.97,856.8500
"Banswara Syntex Ltd",2990,854.08,715.09,46.93,854.0800
"Rana Sugars Ltd",3356,853.86,798.05,-36.76,853.8600
"Vakrangee Softwares Ltd",3546,853.48,715.53,48.08,853.4800
"Jaiprakash Power Ventures Ltd",14266,851.83,102.02,165.11,851.8300
"Telecommunications Consultants India Ltd",5540,850.90,821.78,13.58,850.9000
"McDowell & Company Ltd (Merged)",399,850.42,775.86,24.58,850.4200
"Microsoft Corporation India Pvt Ltd",13068,850.27,741.59,34.25,850.2700
"Pricol Ltd",1908,848.61,764.14,23.12,848.6100
"Hitachi Home & Life Solutions (India) Ltd",2100,847.76,789.72,29.33,847.7600
"Magma Fincorp Ltd",5023,847.53,649.18,114.43,847.5300
"National Textile Corporation Ltd",12204,846.30,649.29,103.13,846.3000
"Kalpena Industries Ltd",3663,845.80,797.91,19.13,845.8000
"RRB Energy Ltd",17158,845.65,757.05,47.47,845.6500
"American Express India Pvt Ltd",16867,844.89,655.56,115.60,844.8900
"Pepsi Foods Pvt Ltd",12498,844.27,612.57,151.43,844.2700
"Jamna Auto Industries Ltd",1149,844.09,746.36,42.65,844.0900
"Persistent Systems Ltd",18286,842.74,596.20,137.39,842.7400
"Schwing Stetter India Pvt Ltd",22061,842.11,772.15,40.66,842.1100
"Vascon Engineers Ltd",28441,840.91,734.07,54.30,840.9100
"L T Foods Ltd",27387,840.67,761.81,16.18,840.6700
"Kirloskar Electric Company Ltd",1781,838.03,785.77,2.11,838.0300
"Time Technoplast Ltd",27753,837.17,661.03,90.14,837.1700
"Paper Products Ltd",1106,837.03,738.98,52.60,837.0300
"Parsvnath Developers Ltd",24800,836.02,657.58,75.48,836.0200
"Reliance Logistics Pvt Ltd(merged)",17723,835.75,823.30,5.05,835.7500
"Rathi Steel & Power Ltd",1325,835.12,765.34,14.05,835.1200
"Iris Computers Ltd",17819,833.06,810.22,6.00,833.0600
"Coastal Energy Pvt Ltd",29555,832.90,811.06,2.86,832.9000
"Sicagen India Ltd",29303,827.73,791.30,24.46,827.7300
"Sumeet Industries Ltd",2705,825.67,764.36,34.44,825.6700
"Grindwell Norton Ltd",209,825.45,683.16,85.63,825.4500
"Sudhir Gensets Ltd",18356,825.28,630.54,170.02,825.2800
"J B Chemicals & Pharamaceuticals Ltd",303,824.96,651.17,118.19,824.9600
"GVK Industries Ltd",5458,824.63,637.93,25.41,824.6300
"Strides Arcolab Ltd",16996,822.46,594.15,117.92,822.4600
"P I Industries Ltd",2650,820.36,697.12,64.12,820.3600
"Neel Metal Products Ltd",28315,818.84,735.89,49.62,818.8400
"Cadila Pharmaceuticals Ltd",12083,817.93,733.56,9.52,817.9300
"REI Six Ten Retail Ltd",28257,814.87,762.17,29.04,814.8700
"Hindustan Motors Ltd",247,813.15,773.01,0.75,813.1500
"Mauria Udyog Ltd",23753,811.93,782.60,7.48,811.9300
"Novartis India Ltd",243,811.84,590.27,146.67,811.8400
"Bhilai Engineering Corporation Ltd",4490,808.72,675.48,69.00,808.7200
"Tinplate Company of India Ltd",565,808.17,709.12,35.81,808.1700
"GMR Power Corporation Ltd",25424,806.03,677.77,77.78,806.0300
"Navin Fluorine International Limited",24585,805.61,464.90,231.24,805.6100
"KNR Constructions Ltd",28334,804.56,671.97,56.83,804.5600
"Concast Ispat Ltd",25525,804.48,769.07,6.01,804.4800
"Trent Ltd",345,802.85,716.58,43.04,802.8500
"V-Guard Industries Ltd",19611,802.47,723.20,42.64,802.4700
"Simplex Projects Ltd",20289,802.01,718.68,35.40,802.0100
"India Infoline Ltd",23296,799.55,602.22,122.36,799.5500
"IFB Industries Ltd",281,799.09,718.18,50.31,799.0900
"Tulsyan NEC Ltd",4402,796.24,735.19,9.34,796.2400
"Unichem Laboratories Ltd",577,794.94,625.48,108.50,794.9400
"Atlas Cycles (Haryana) Ltd",42,794.30,771.07,3.76,794.3000
"Lloyd Electric & Engineering Ltd",4335,793.49,711.21,36.06,793.4900
"Lafarge India Ltd",20793,792.24,665.69,-12.88,792.2400
"Kodak India Pvt Ltd",273,792.06,698.14,57.72,792.0600
"KSB Pumps Ltd",342,791.81,704.84,42.98,791.8100
"Reliance Enterprises Ltd",6207,790.54,0.43,790.11,790.5400
"Angelique International Ltd",15495,789.10,696.81,46.82,789.1000
"Mahanagar Gas Ltd",13369,788.96,495.45,161.76,788.9600
"Alps Industries Ltd",5135,788.67,782.85,-100.31,788.6700
"Elgi Equipments Ltd",155,787.82,652.77,81.39,787.8200
"Ankur Drugs & Pharma Ltd",14618,786.16,662.86,-68.81,786.1600
"Pyramid Saimira Theatre Ltd",26759,785.66,883.43,-144.89,785.6600
"Tide Water Oil Co (I) Ltd",2846,785.25,679.19,64.16,785.2500
"Piramal Glass Ltd",1754,782.41,569.17,68.59,782.4100
"V I P Industries Ltd",720,779.95,682.51,62.01,779.9500
"Vippy Industries Ltd",862,775.13,753.23,12.66,775.1300
"Hindustan Paper Corporation Ltd",12288,774.02,617.24,81.01,774.0200
"Bharat Bijlee Ltd",68,773.57,682.00,53.67,773.5700
"Toyo Engineering India Ltd",5466,773.55,736.52,5.39,773.5500
"Tata Infotech Ltd(merged)",551,773.53,666.79,80.24,773.5300
"Gillanders Arbuthnot & Company Ltd",2415,773.06,663.44,54.19,773.0600
"Sahara India Real Estate Corporation Ltd",8044,772.22,491.69,-68.01,772.2200
"National Engineering Industries Ltd",14027,771.49,614.38,62.29,771.4900
"GMR Vemagiri Power Generation Ltd",20314,769.69,552.13,44.41,769.6900
"Jubilant Foodworks Ltd",14548,767.69,645.59,72.00,767.6900
"Winro Commercial (India) Ltd",1768,764.37,755.06,7.66,764.3700
"Sistema Shyam Teleservices Ltd",22040,763.67,"2,365.76","-2,367.55",763.6700
"Vardhman Polytex Ltd",2900,762.61,647.67,26.70,762.6100
"Uranium Corporation Of India Ltd",13279,761.40,515.35,101.53,761.4000
"Eicher Motors Ltd",151,761.34,604.47,124.55,761.3400
"Visaka Industries Ltd",1052,759.54,676.49,34.34,759.5400
"Firstsource Solutions Ltd",24882,758.92,604.83,66.29,758.9200
"Competent Automobiles Ltd",5326,758.51,741.94,7.07,758.5100
"Progressive Constructions Ltd",24267,758.05,604.48,23.56,758.0500
"Ennore Coke Ltd",24429,756.84,711.75,4.85,756.8400
"S E S Technologies Ltd",24145,756.64,740.24,2.17,756.6400
"Indian Railway Catering & Tourism Corporation Ltd",23401,756.27,611.37,60.79,756.2700
"Brandhouse Retails Ltd",27660,756.05,696.13,20.12,756.0500
"Nitco Ltd",13683,753.78,674.63,26.30,753.7800
"Praxair India (P) Ltd",16110,753.71,554.80,105.38,753.7100
"Valecha Engineering Ltd",3750,752.58,686.04,24.79,752.5800
"PNC Infratech Ltd",28695,752.03,656.38,45.16,752.0300
"Ginni Filaments Ltd",1846,751.48,657.97,20.22,751.4800
"Kone Elevator India Pvt Ltd",17975,750.73,633.30,67.84,750.7300
"Ruchi Health Foods Ltd",22387,749.69,735.62,4.67,749.6900
"Everest Industries Ltd",165,748.73,671.26,40.71,748.7300
"Sundaram Auto Components Ltd",25134,746.79,719.56,8.22,746.7900
"Shah Alloys Ltd",2997,746.35,810.98,-129.69,746.3500
"Malayala Manorama Company Ltd",23740,746.31,544.08,105.99,746.3100
"SREI Infrastructure Finance Ltd",2787,746.24,516.02,134.30,746.2400
"Shyam Telecom Ltd",3673,742.67,732.25,3.82,742.6700
"Hind Agro Industries Ltd",19480,742.62,707.14,5.80,742.6200
"Dimexon Diamonds Ltd",24313,742.60,693.89,18.11,742.6000
"Kudos Chemie Ltd",24711,742.50,586.46,44.60,742.5000
"Himadri Chemicals & Industries Ltd",2780,741.67,535.31,114.39,741.6700
"Genus Power Infrastructures Ltd",4962,741.06,622.84,61.08,741.0600
"Kotak Securities Ltd",5844,740.19,450.77,181.94,740.1900
"Agro Tech Foods Ltd",2146,738.82,686.80,31.78,738.8200
"Somany Ceramics Ltd",519,736.62,667.08,23.43,736.6200
"L G Balakrishnan & Bros Ltd",1927,732.70,644.75,45.81,732.7000
"Hyderabad Industries Ltd",259,731.73,634.14,50.60,731.7300
"Sathavahana Ispat Ltd",3099,731.43,607.97,56.54,731.4300
"GMR Infrastructure Ltd",23039,730.74,485.73,58.88,730.7400
"Lanco Industries Ltd",3885,730.53,638.38,42.03,730.5300
"Bilt Graphic Papers Ltd (Merged)",24961,730.44,608.89,5.04,730.4400
"Allcargo Logistics Ltd",27333,730.39,531.99,121.12,730.3900
"Dalmia Bharat Sugar & Industries Ltd",131,729.69,641.84,3.10,729.6900
"Relaxo Footwears Ltd",5056,729.47,640.99,26.71,729.4700
"Lubrizol India Private Ltd",13463,728.62,539.13,120.96,728.6200
"Southern Iron & Steel Company Ltd(merged)",5035,728.32,576.12,55.05,728.3200
"Murli Industries Ltd",3487,727.73,719.42,-197.00,727.7300
"TRF Ltd",556,726.84,704.71,0.83,726.8400
"FDC Ltd",14482,726.78,535.58,148.75,726.7800
"Sudarshan Chemical Industries Ltd",808,726.24,621.50,55.81,726.2400
"Responsive Industries Ltd",7102,725.90,626.28,55.27,725.9000
"Excel Crop Care Ltd",17576,725.16,644.05,43.69,725.1600
"Parabolic Drugs Ltd",27313,724.97,607.27,52.87,724.9700
"Hexaware Technologies Ltd",12111,723.52,448.46,231.98,723.5200
"Heavy Engineering Corporation Ltd",12052,722.25,678.37,38.14,722.2500
"Rain Calcining Ltd(merged)",12849,721.66,592.00,70.05,721.6600
"Escotel Mobile Communications Ltd",16013,720.54,461.26,16.51,720.5400
"Writers and Publishers Pvt Ltd",24637,719.50,700.96,1.80,719.5000
"Ankit Metal & Power Ltd",27538,719.34,656.91,24.25,719.3400
"ICICI Securities Ltd",12466,718.20,586.72,77.13,718.2000
"BLB Ltd",16667,712.34,742.14,-18.53,712.3400
"DSP Merrill Lynch Ltd",1577,711.81,485.35,127.04,711.8100
"Sharda Motor Industries Ltd",7065,710.92,650.34,20.97,710.9200
"Sree Rayalaseema Alkalies & Allied Chemicals Ltd",857,710.76,608.65,13.65,710.7600
"Sun Microsystems India Pvt Ltd",19432,710.11,549.31,130.07,710.1100
"Hutchison Essar South Ltd",25097,709.71,621.36,-127.91,709.7100
"Parle Agro Ltd",15038,709.46,656.73,9.15,709.4600
"Karnataka State Road Transport Corpn",13954,708.61,610.80,-4.56,708.6100
