Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
311,NARAMALLI SIVAPRASAD,Chittoor,TDP,0,Graduate Professional,"Rs 60,11,000
~ 60 Lacs+","Rs 0
~"
312,NARANBHAI BHIKHABHAI KACHHADIYA,Amreli,BJP,0,5th Pass,"Rs 47,48,283
~ 47 Lacs+","Rs 3,00,000
~ 3 Lacs+"
313,NARAYANASAMY,Pondicherry,INC,0,Post Graduate,"Rs 3,59,79,157
~ 3 Crore+","Rs 21,71,758
~ 21 Lacs+"
314,NARAYANSINGH AMLABE,Rajgarh,INC,0,12th Pass,"Rs 38,08,133
~ 38 Lacs+","Rs 1,61,617
~ 1 Lacs+"
315,NARENDRA SINGH TOMAR,Morena,BJP,0,Graduate,"Rs 34,53,203
~ 34 Lacs+","Rs 17,80,000
~ 17 Lacs+"
316,NATARAJAN.P.R.,Coimbatore,CPM,0,Graduate,"Rs 17,67,722
~ 17 Lacs+","Rs 0
~"
317,NAVEEN JINDAL,Kurukshetra,INC,0,Post Graduate,"Rs 1,31,07,30,000
~ 131 Crore+","Rs 0
~"
318,NAVJOT SINGH SIDHU,Amritsar,BJP,1,Graduate,"Rs 14,50,37,236
~ 14 Crore+","Rs 0
~"
319,NEERAJ SHEKHAR,Ballia,SP,0,Graduate,"Rs 2,77,18,262
~ 2 Crore+","Rs 1,51,00,000
~ 1 Crore+"
320,NIKHIL KUMAR CHOUDHARY,Katihar,BJP,4,Graduate,"Rs 80,18,754
~ 80 Lacs+","Rs 8,02,308
~ 8 Lacs+"
321,NINONG ERING,Arunachal East,INC,0,Graduate,"Rs 10,43,20,000
~ 10 Crore+","Rs 12,51,784
~ 12 Lacs+"
322,NIRMAL KHATRI,Faizabad,INC,0,Doctorate,"Rs 66,70,000
~ 66 Lacs+","Rs 5,771
~ 5 Thou+"
323,NISHIKANT DUBEY,Godda,BJP,0,Post Graduate,"Rs 10,10,37,987
~ 10 Crore+","Rs 0
~"
324,Nityananda Pradhan,Aska,BJD,1,Post Graduate,"Rs 2,66,16,692
~ 2 Crore+","Rs 15,25,000
~ 15 Lacs+"
325,Nripendra Nath Ray,Coochbehar,AIFB,1,Graduate,"Rs 11,33,170
~ 11 Lacs+","Rs 0
~"
326,OmPrakashYadav,Siwan,IND,1,Graduate,"Rs 30,32,500
~ 30 Lacs+","Rs 0
~"
327,P C Chacko,Thrissur,INC,0,Post Graduate,"Rs 1,63,35,679
~ 1 Crore+","Rs 0
~"
328,P K Biju,Alathur,CPM,0,Post Graduate,"Rs 4,61,000
~ 4 Lacs+","Rs 0
~"
329,P. BALRAM,Mahabubabad,INC,0,Graduate,"Rs 1,71,95,194
~ 1 Crore+","Rs 1,41,22,000
~ 1 Crore+"
330,P.C.Mohan,Bangalore Central,BJP,1,12th Pass,"Rs 5,37,29,000
~ 5 Crore+","Rs 3,28,87,000
~ 3 Crore+"
331,P.Karunakaran,Kasaragod,CPM,12,Post Graduate,"Rs 1,78,23,645
~ 1 Crore+","Rs 0
~"
332,P.L.PUNIA,Barabanki,INC,0,Doctorate,"Rs 1,40,47,833
~ 1 Crore+","Rs 9,95,370
~ 9 Lacs+"
333,PAKAURI LAL,Robertsganj,SP,0,Literate,"Rs 17,62,515
~ 17 Lacs+","Rs 0
~"
334,PALANIMANICKAM.S.S,Thanjavur,DMK,0,Graduate Professional,"Rs 75,23,592
~ 75 Lacs+","Rs 28,41,136
~ 28 Lacs+"
335,PANABAKA LAKSHMI,Bapatla,INC,0,Post Graduate,"Rs 1,66,35,386
~ 1 Crore+","Rs 0
~"
336,PARAMJIT KAUR GULSHAN,Faridkot,SAD,0,Post Graduate,"Rs 1,42,08,609
~ 1 Crore+","Rs 21,85,837
~ 21 Lacs+"
337,PARTAP SINGH BAJWA,Gurdaspur,INC,0,Graduate,"Rs 6,80,53,249
~ 6 Crore+","Rs 1,00,000
~ 1 Lacs+"
338,PASHUPATI NATH SINGH,Dhanbad,BJP,2,Graduate,"Rs 39,43,516
~ 39 Lacs+","Rs 0
~"
339,PATEL NATUBHAI GOMANBHAI,Dadra & Nagar Haveli,BJP,3,5th Pass,"Rs 8,34,94,860
~ 8 Crore+","Rs 34,26,035
~ 34 Lacs+"
340,PATIL PADAMSINHA BAJIRAO,Osmanabad,NCP,7,Graduate Professional,"Rs 7,58,52,364
~ 7 Crore+","Rs 0
~"
341,PAWAN KUMAR BANSAL,Chandigarh,INC,0,Graduate Professional,"Rs 3,87,29,400
~ 3 Crore+","Rs 0
~"
342,PAWAR SHARADCHANDRA GOVINDRAO,Madha,NCP,0,10th Pass,"Rs 8,72,38,434
~ 8 Crore+","Rs 0
~"
343,Pinaki Misra,Puri,BJD,0,Graduate,"Rs 29,69,00,000
~ 29 Crore+","Rs 0
~"
344,Ponnam Prabhakar,Karimnagar,INC,0,Graduate Professional,"Rs 12,87,000
~ 12 Lacs+","Rs 0
~"
345,POONAMBEN VELJIBHAI JAT,Kachchh,BJP,1,12th Pass,"Rs 5,24,126
~ 5 Lacs+","Rs 0
~"
346,PRABHABEN KISHORESINH TAVIAD,Dahod,INC,0,Graduate Professional,"Rs 68,23,687
~ 68 Lacs+","Rs 0
~"
347,PRABHATSINH PRATAPSINH CHAUHAN,Panchmahal,BJP,3,10th Pass,"Rs 72,55,000
~ 72 Lacs+","Rs 0
~"
348,Prabodh Panda,Medinipur,CPI,0,Graduate,"Rs 22,30,746
~ 22 Lacs+","Rs 3,62,156
~ 3 Lacs+"
349,PRADEEP KUMAR JAIN,Jhansi,INC,2,Post Graduate,"Rs 33,43,719
~ 33 Lacs+","Rs 0
~"
350,Pradeep Kumar Majhi,Nabarangpur,INC,0,Graduate,"Rs 8,50,000
~ 8 Lacs+","Rs 3,45,830
~ 3 Lacs+"
351,PRADEEP KUMAR SINGH,Araria,BJP,3,10th Pass,"Rs 2,57,014
~ 2 Lacs+","Rs 7,64,726
~ 7 Lacs+"
352,PRADEEP TAMTA,Almora,INC,0,Post Graduate,"Rs 15,90,000
~ 15 Lacs+","Rs 0
~"
353,Pralhad Joshi,Dharwad,BJP,0,Graduate,"Rs 1,44,12,674
~ 1 Crore+","Rs 31,82,357
~ 31 Lacs+"
354,PRANAB MUKHERJEE,Jangipur,INC,0,Doctorate,"Rs 2,69,20,479
~ 2 Crore+","Rs 0
~"
355,Prasanna Kumar Patasani,Bhubaneswar,BJD,0,Post Graduate,"Rs 14,77,178
~ 14 Lacs+","Rs 0
~"
356,Prasanta Kumar Majumdar,Balurghat,RSP,0,Post Graduate,"Rs 16,76,454
~ 16 Lacs+","Rs 0
~"
357,PRATIK PRAKASHBAPU PATIL,Sangli,INC,1,Others,"Rs 2,21,37,000
~ 2 Crore+","Rs 13,58,000
~ 13 Lacs+"
358,PRAVEEN SINGH ARON,Bareilly,INC,1,Graduate Professional,"Rs 28,80,19,293
~ 28 Crore+","Rs 3,26,22,036
~ 3 Crore+"
359,PREM DAS RAI,Sikkim,SDF,0,Post Graduate,"Rs 1,85,03,294
~ 1 Crore+","Rs 8,41,835
~ 8 Lacs+"
360,PREMDAS,Etawah,SP,1,Graduate,"Rs 42,28,828
~ 42 Lacs+","Rs 0
~"
361,PRENEET KAUR,Patiala,INC,0,Graduate,"Rs 42,30,43,438
~ 42 Crore+","Rs 0
~"
362,Prof K V Thomas,Ernakulam,INC,0,Post Graduate,"Rs 1,50,41,664
~ 1 Crore+","Rs 22,09,490
~ 22 Lacs+"
363,Pulin Bihari Baske,Jhargram,CPM,0,Graduate Professional,"Rs 14,84,298
~ 14 Lacs+","Rs 0
~"
364,PURNAMASI RAM,Gopalganj,JD(U),1,10th Pass,"Rs 34,21,562
~ 34 Lacs+","Rs 5,33,024
~ 5 Lacs+"
365,R. K. SINGH PATEL,Banda,SP,1,Graduate,"Rs 3,41,07,955
~ 3 Crore+","Rs 0
~"
366,R.DHRUVANARAYANA,Chamarajanagar,INC,0,Post Graduate,"Rs 1,67,29,619
~ 1 Crore+","Rs 38,96,431
~ 38 Lacs+"
367,RADHA MOHAN SINGH,Purvi Champaran,BJP,0,Graduate,"Rs 76,29,444
~ 76 Lacs+","Rs 1,84,731
~ 1 Lacs+"
368,RADHEY MOHAN SINGH,Ghazipur,SP,1,Graduate,"Rs 2,20,62,609
~ 2 Crore+","Rs 17,52,447
~ 17 Lacs+"
369,RAGHUVANSH PRASAD SINGH,Vaishali,RJD,0,Doctorate,"Rs 61,69,238
~ 61 Lacs+","Rs 2,14,137
~ 2 Lacs+"
370,Raghuveer singh,Udaipur,INC,0,Graduate,"Rs 67,53,883
~ 67 Lacs+","Rs 17,50,000
~ 17 Lacs+"
371,RAHUL GANDHI,Amethi,INC,0,Post Graduate,"Rs 2,32,74,706
~ 2 Crore+","Rs 23,35,000
~ 23 Lacs+"
372,RAJ KUMARI CHAUHAN,Aligarh,BSP,0,12th Pass,"Rs 3,40,34,506
~ 3 Crore+","Rs 0
~"
373,RAJA A,Nilgiris,DMK,0,Graduate Professional,"Rs 1,42,51,669
~ 1 Crore+","Rs 1,66,862
~ 1 Lacs+"
374,Rajaiah Siricilla,Warangal,INC,0,Graduate,"Rs 42,24,704
~ 42 Lacs+","Rs 14,61,167
~ 14 Lacs+"
375,RAJARAM PAL,Akbarpur,INC,0,Graduate Professional,"Rs 44,00,000
~ 44 Lacs+","Rs 8,38,099
~ 8 Lacs+"
376,RAJEN GOHAIN,Nowgong,BJP,1,Graduate Professional,"Rs 1,02,10,891
~ 1 Crore+","Rs 7,40,165
~ 7 Lacs+"
377,RAJENDRA AGARWAL,Meerut,BJP,0,Post Graduate,"Rs 21,21,825
~ 21 Lacs+","Rs 3,15,620
~ 3 Lacs+"
378,RAJENDRAN C,Chennai South,ADMK,0,Graduate Professional,"Rs 2,79,66,678
~ 2 Crore+","Rs 0
~"
379,RAJENDRASINH GHANSHYAMSINH RANA,Bhavnagar,BJP,0,Graduate Professional,"Rs 55,08,711
~ 55 Lacs+","Rs 0
~"
380,RAJESH NANDINI SINGH,Shahdol,INC,0,Graduate,"Rs 1,14,75,000
~ 1 Crore+","Rs 2,00,000
~ 2 Lacs+"
381,RAJKUMARI RATNA SINGH,Pratapgarh,INC,5,Graduate,"Rs 67,82,70,725
~ 67 Crore+","Rs 10,02,000
~ 10 Lacs+"
382,RAJNATH SINGH,Ghaziabad,BJP,1,Post Graduate,"Rs 1,49,02,703
~ 1 Crore+","Rs 0
~"
383,RAKESH PANDEY,Ambedkar Nagar,BSP,3,8th Pass,"Rs 16,40,78,904
~ 16 Crore+","Rs 0
~"
384,RAKESH SACHAN,Fatehpur,SP,7,Post Graduate,"Rs 4,09,55,595
~ 4 Crore+","Rs 0
~"
385,RAKESH SINGH,Jabalpur,BJP,0,Graduate,"Rs 92,31,699
~ 92 Lacs+","Rs 10,545
~ 10 Thou+"
386,RAM CHANDRA DOME,Bolpur,CPM,0,Graduate Professional,"Rs 7,39,396
~ 7 Lacs+","Rs 0
~"
387,RAM SINGH KASWAN,Churu,BJP,0,Graduate Professional,"Rs 2,74,03,097
~ 2 Crore+","Rs 0
~"
388,RAM SUNDAR DAS,Hajipur,JD(U),0,10th Pass,"Rs 27,96,489
~ 27 Lacs+","Rs 11,16,705
~ 11 Lacs+"
389,RAMA DEVI,Sheohar,BJP,5,Graduate Professional,"Rs 6,94,29,234
~ 6 Crore+","Rs 8,83,367
~ 8 Lacs+"
390,RAMAKANT YADAV,Azamgarh,BJP,11,10th Pass,"Rs 2,44,94,000
~ 2 Crore+","Rs 0
~"
391,RAMASHANKAR RAJBHAR,Salempur,BSP,0,Graduate,"Rs 23,05,000
~ 23 Lacs+","Rs 0
~"
392,RAMASUBBU S,Tirunelveli,INC,0,Post Graduate,"Rs 3,47,06,447
~ 3 Crore+","Rs 18,07,386
~ 18 Lacs+"
393,RAMEN DEKA,Mangaldoi,BJP,0,Graduate,"Rs 75,79,967
~ 75 Lacs+","Rs 0
~"
394,RAMESH KUMAR,South Delhi,INC,0,10th Pass,"Rs 2,58,45,997
~ 2 Crore+","Rs 3,29,812
~ 3 Lacs+"
395,Ramesh Rathod,Adilabad,TDP,2,12th Pass,"Rs 34,10,000
~ 34 Lacs+","Rs 8,15,241
~ 8 Lacs+"
396,RAMKISHUN,Chandauli,SP,10,Graduate Professional,"Rs 46,72,785
~ 46 Lacs+","Rs 0
~"
397,RAMSINHBHAI PATALBHAI RATHAVA,Chhota Udaipur,BJP,0,10th Pass,"Rs 1,05,01,785
~ 1 Crore+","Rs 66,24,317
~ 66 Lacs+"
398,RANEE NARAH,Lakhimpur,INC,1,Graduate,"Rs 5,39,76,290
~ 5 Crore+","Rs 0
~"
399,RANJAN PRASAD YADAV,Pataliputra,JD(U),1,Doctorate,"Rs 1,53,19,000
~ 1 Crore+","Rs 0
~"
400,RATAN SINGH,Bharatpur,INC,0,Graduate Professional,"Rs 1,19,67,191
~ 1 Crore+","Rs 3,35,314
~ 3 Lacs+"
401,RATNA DE,Hooghly,AITC,0,Graduate Professional,"Rs 87,30,448
~ 87 Lacs+","Rs 0
~"
402,RAVINDRA KUMAR PANDEY,Giridih,BJP,1,Graduate,"Rs 3,27,22,762
~ 3 Crore+","Rs 33,17,725
~ 33 Lacs+"
403,RAVNEET SINGH,Anandpur Sahib,INC,0,12th Pass,"Rs 2,18,21,443
~ 2 Crore+","Rs 3,00,000
~ 3 Lacs+"
404,Rudra Madhab Ray,Kandhamal,BJD,0,Graduate,"Rs 43,87,647
~ 43 Lacs+","Rs 5,66,588
~ 5 Lacs+"
405,S Pakkirappa,Raichur,BJP,1,5th Pass,"Rs 77,36,230
~ 77 Lacs+","Rs 0
~"
406,S.P.Y.REDDY,Nandyal,INC,1,Graduate Professional,"Rs 9,28,21,000
~ 9 Crore+","Rs 0
~"
407,Sabbam Hari,Anakapalle,INC,0,12th Pass,"Rs 8,50,32,286
~ 8 Crore+","Rs 4,50,000
~ 4 Lacs+"
408,SACHIN PILOT,Ajmer,INC,0,Post Graduate,"Rs 4,64,89,558
~ 4 Crore+","Rs 0
~"
409,SADASHIVRAO MANDLIK DADOBA,Kolhapur,IND,0,Graduate,"Rs 1,15,52,012
~ 1 Crore+","Rs 0
~"
410,SAJJAN SINGH VERMA,Dewas,INC,0,Post Graduate,"Rs 2,70,42,325
~ 2 Crore+","Rs 11,04,525
~ 11 Lacs+"
411,SAKTI MOHAN MALIK,Arambag,CPM,0,Post Graduate,"Rs 24,15,310
~ 24 Lacs+","Rs 1,08,000
~ 1 Lacs+"
412,SALMAN KHURSHEED,Farrukhabad,INC,0,Post Graduate,"Rs 2,61,40,421
~ 2 Crore+","Rs 47,65,556
~ 47 Lacs+"
413,SAMBASIVA RAO RAYAPATI,Guntur,INC,3,Graduate,"Rs 14,71,43,582
~ 14 Crore+","Rs 4,52,04,329
~ 4 Crore+"
414,SAMEER BHUJBAL,Nashik,NCP,0,10th Pass,"Rs 6,66,60,039
~ 6 Crore+","Rs 0
~"
415,SANDEEP DIKSHIT,East Delhi,INC,0,Post Graduate,"Rs 1,81,46,428
~ 1 Crore+","Rs 19,80,887
~ 19 Lacs+"
416,Sanjay Bhoi,Bargarh,INC,0,Graduate,"Rs 17,00,000
~ 17 Lacs+","Rs 0
~"
417,SANJAY BRIJKISHORLAL NIRUPAM,Mumbai North,INC,5,Graduate,"Rs 2,24,17,801
~ 2 Crore+","Rs 37,27,000
~ 37 Lacs+"
418,SANJAY DINA PATIL,Mumbai North East,NCP,2,Graduate,"Rs 43,23,503
~ 43 Lacs+","Rs 0
~"
419,SANJAY SINGH CHAUHAN,Bijnor,RLD,0,Graduate Professional,"Rs 3,53,52,625
~ 3 Crore+","Rs 52,54,245
~ 52 Lacs+"
420,SANKAR ADHI,Kallakurichi,DMK,1,Graduate Professional,"Rs 1,78,37,266
~ 1 Crore+","Rs 9,86,068
~ 9 Lacs+"
421,SANSUMA KHUNGGUR BWISWMUTHIARY,Kokrajhar,BOPF,0,Graduate,"Rs 49,54,903
~ 49 Lacs+","Rs 4,64,860
~ 4 Lacs+"
422,SANTOSH CHOWDHARY,Hoshiarpur,INC,0,Graduate Professional,"Rs 2,68,16,253
~ 2 Crore+","Rs 0
~"
423,SARIKA SINGH,Hathras,RLD,0,Post Graduate,"Rs 8,25,272
~ 8 Lacs+","Rs 0
~"
424,SAROJ PANDEY,Durg,BJP,0,Post Graduate,"Rs 3,79,787
~ 3 Lacs+","Rs 6,67,787
~ 6 Lacs+"
425,SARVEY SATYANARAYANA,Malkajgiri,INC,1,Graduate Professional,"Rs 1,01,12,521
~ 1 Crore+","Rs 1,16,848
~ 1 Lacs+"
426,SATABDI ROY (BANERJEE),Birbhum,AITC,0,12th Pass,"Rs 1,31,48,000
~ 1 Crore+","Rs 5,26,321
~ 5 Lacs+"
427,SATPAL MAHARAJ,Garhwal,INC,0,12th Pass,"Rs 11,21,36,795
~ 11 Crore+","Rs 0
~"
428,SAUGATA RAY,Dum Dum,AITC,0,Post Graduate,"Rs 39,71,408
~ 39 Lacs+","Rs 0
~"
429,SEEMA UPADHAYAY,Fatehpur Sikri,BSP,0,Graduate,"Rs 2,65,45,096
~ 2 Crore+","Rs 15,95,708
~ 15 Lacs+"
430,SELJA,Ambala,INC,0,Post Graduate,"Rs 4,67,11,386
~ 4 Crore+","Rs 0
~"
431,SEMMALAI S,Salem,ADMK,2,Graduate Professional,"Rs 4,62,20,339
~ 4 Crore+","Rs 59,000
~ 59 Thou+"
432,SHAILENDRA KUMAR,Kaushambi,SP,0,Graduate,"Rs 2,08,00,327
~ 2 Crore+","Rs 0
~"
433,SHARAD YADAV,Madhepura,JD(U),1,Graduate Professional,"Rs 1,41,07,050
~ 1 Crore+","Rs 0
~"
434,SHARIEF UD DIN SHARIQ,Baramulla,JKN,0,Post Graduate,"Rs 1,19,55,000
~ 1 Crore+","Rs 13,10,000
~ 13 Lacs+"
435,Shashi Tharoor,Thiruvananthapuram,INC,1,Doctorate,"Rs 21,24,42,472
~ 21 Crore+","Rs 0
~"
436,SHATRUGHAN SINHA,Patna Sahib,BJP,0,Graduate,"Rs 15,00,33,976
~ 15 Crore+","Rs 2,58,78,099
~ 2 Crore+"
437,SHER SINGH GHUBAYA,Firozpur,SAD,0,10th Pass,"Rs 3,19,69,676
~ 3 Crore+","Rs 36,98,744
~ 36 Lacs+"
438,SHETTI RAJU ALIAS DEVAPPA ANNA,Hatkanangle,SWP,0,10th Pass,"Rs 22,53,785
~ 22 Lacs+","Rs 1,04,341
~ 1 Lacs+"
439,SHIBU SOREN,Dumka,JMM,3,10th Pass,"Rs 82,29,419
~ 82 Lacs+","Rs 72,65,635
~ 72 Lacs+"
440,SHINDE SUSHILKUMAR SAMBHAJIRAO,Solapur,INC,0,Graduate Professional,"Rs 8,60,42,099
~ 8 Crore+","Rs 37,00,000
~ 37 Lacs+"
441,SHIVAKUMAR CHANNABASAPPA UDASI,Haveri,BJP,0,Graduate,"Rs 32,33,61,935
~ 32 Crore+","Rs 3,38,33,437
~ 3 Crore+"
442,Shivaramgouda,Koppal,BJP,0,Graduate Professional,"Rs 1,45,18,988
~ 1 Crore+","Rs 30,78,847
~ 30 Lacs+"
443,SHIVRAJ BHAIYA,Damoh,BJP,0,12th Pass,"Rs 89,29,326
~ 89 Lacs+","Rs 2,86,513
~ 2 Lacs+"
444,Shri Bishnu Pada Ray,Andaman & Nicobar Islands,BJP,1,Graduate,"Rs 12,41,034
~ 12 Lacs+","Rs 0
~"
445,SHRIPAD YESSO NAIK,North Goa,BJP,0,Graduate,"Rs 98,97,462
~ 98 Lacs+","Rs 9,12,582
~ 9 Lacs+"
446,SHRUTI CHOUDHRY,Bhiwani-Mahendragarh,INC,0,Graduate Professional,"Rs 16,72,66,000
~ 16 Crore+","Rs 1,70,00,000
~ 1 Crore+"
447,Siddeswara.G.M,Davanagere,BJP,0,10th Pass,"Rs 14,02,48,867
~ 14 Crore+","Rs 42,63,675
~ 42 Lacs+"
448,Sidhant Mohapatra,Berhampur,BJD,0,Post Graduate,"Rs 48,28,474
~ 48 Lacs+","Rs 1,18,884
~ 1 Lacs+"
449,SIVAKUMAR @ J.K. RITHEESH. K,Ramanathapuram,DMK,2,Graduate,"Rs 12,28,20,653
~ 12 Crore+","Rs 40,00,000
~ 40 Lacs+"
450,SIVASAMI C,Tiruppur,ADMK,3,Post Graduate,"Rs 5,18,92,954
~ 5 Crore+","Rs 0
~"
451,SK. NURUL ISLAM,Basirhat,AITC,0,12th Pass,"Rs 11,55,500
~ 11 Lacs+","Rs 8,07,500
~ 8 Lacs+"
452,SK. SAIDUL HAQUE,Bardhaman-Durgapur,CPM,0,Post Graduate,"Rs 24,14,520
~ 24 Lacs+","Rs 1,28,172
~ 1 Lacs+"
453,Sohan Potai,Kanker,BJP,0,Post Graduate,"Rs 82,61,296
~ 82 Lacs+","Rs 0
~"
454,SOMABHAI GANDABHAI KOLIPATEL,Surendranagar,INC,0,5th Pass,"Rs 1,86,18,718
~ 1 Crore+","Rs 0
~"
455,SOMENDRA NATH MITRA,Diamond Harbour,AITC,0,Graduate Professional,"Rs 1,47,30,832
~ 1 Crore+","Rs 1,57,500
~ 1 Lacs+"
456,SONAWANE PRATAP NARAYANRAO,Dhule,BJP,0,Graduate Professional,"Rs 14,21,57,029
~ 14 Crore+","Rs 65,81,693
~ 65 Lacs+"
457,SONIA GANDHI,Rae bareli,INC,0,Others,"Rs 1,37,94,768
~ 1 Crore+","Rs 0
~"
458,SRI PABAN SINGH GHATOWAR,Dibrugarh,INC,0,Graduate,"Rs 97,97,014
~ 97 Lacs+","Rs 0
~"
459,SRI PRAKASH JAISWAL,Kanpur,INC,0,12th Pass,"Rs 3,07,67,980
~ 3 Crore+","Rs 0
~"
460,Srikanta Kumar Jena,Balasore,INC,0,Graduate,"Rs 59,79,551
~ 59 Lacs+","Rs 8,62,820
~ 8 Lacs+"
461,SUBHASH BAPURAO WANKHEDE,Hingoli,SHS,4,10th Pass,"Rs 34,88,000
~ 34 Lacs+","Rs 4,84,000
~ 4 Lacs+"
